TH_ID,TH_ROUTE_ID,ROUTE_NODE_SEQ,CLUE_ACT_GRP_ID,ACT_TYPE_CODE_ID,GRP_DESC
50,13,5,460,1217,High Court of KarnatakaJigsaw
50,13,6,472,1205,Queen VictoriaImage
50,13,7,440,1217,BandstandJigsaw
50,13,8,451,1207,Corn SculptureSelfie
50,13,9,474,1205,Rock GardenImage
50,14,1,451,1207,Corn SculptureSelfie
50,14,2,430,1204,Band standGPS-1,3
50,14,3,472,1205,Queen VictoriaImage
50,14,4,491,1201,High Court of KarnatakaWord 1
50,14,5,460,1217,High Court of KarnatakaJigsaw
50,14,6,449,1205,Concrete Jungle SculptureImage
50,14,7,478,1218,Seshadri IyerMCQ
50,14,8,448,1217,Chamarajendra WodeyarJigsaw
50,14,9,442,1207,Bull SculptureSelfie
50,15,1,448,1217,Chamarajendra WodeyarJigsaw
50,15,2,478,1218,Seshadri IyerMCQ
50,15,3,467,1205,Kirtimukha SculptureImage
50,15,4,491,1201,High Court of KarnatakaWord 1
50,15,5,460,1217,High Court of KarnatakaJigsaw
50,15,6,464,1204,King Edward VIIGPS 1
50,15,7,439,1205,BandstandImage
50,15,8,451,1207,Corn SculptureSelfie
50,15,9,474,1205,Rock GardenImage
50,16,1,454,1205,Fish SculptureImage
50,16,2,430,1204,Band standGPS-1,3
50,16,3,472,1205,Queen VictoriaImage
50,16,4,492,1201,High Court of KarnatakaWord 2
50,16,5,481,1217,Sir Mark CubbonJigsaw
50,16,6,485,1207,State Central LibrarySelfie 1
50,16,7,478,1218,Seshadri IyerMCQ
50,16,8,448,1217,Chamarajendra WodeyarJigsaw
50,16,9,474,1205,Rock GardenImage
50,17,1,488,1205,Tree SculptureImage
50,17,2,478,1218,Seshadri IyerMCQ
50,17,3,485,1207,State Central LibrarySelfie 1
50,17,4,492,1201,High Court of KarnatakaWord 2
50,17,5,460,1217,High Court of KarnatakaJigsaw
50,17,6,465,1204,King Edward VIIGPS 2
50,17,7,440,1217,BandstandJigsaw
50,17,8,451,1207,Corn SculptureSelfie
50,17,9,474,1205,Rock GardenImage
50,18,1,487,1205,Tiger Pillar Sculpture Image
50,18,2,431,1207,Band StandSelfie
50,18,3,472,1205,Queen VictoriaImage
50,18,4,491,1201,High Court of KarnatakaWord 1
50,18,5,460,1217,High Court of KarnatakaJigsaw
50,18,6,484,1204,State Central LibraryGPS
50,18,7,478,1218,Seshadri IyerMCQ
50,18,8,448,1217,Chamarajendra WodeyarJigsaw
50,18,9,442,1207,Bull SculptureSelfie
50,19,1,448,1217,Chamarajendra WodeyarJigsaw
50,19,2,478,1218,Seshadri IyerMCQ
50,19,3,462,1205,Indigenous Woman SculptureImage
50,19,4,491,1201,High Court of KarnatakaWord 1
50,19,5,481,1217,Sir Mark CubbonJigsaw
50,19,6,471,1204,Queen VictoriaGPS
50,19,7,439,1205,BandstandImage
50,19,8,451,1207,Corn SculptureSelfie
50,19,9,474,1205,Rock GardenImage
50,20,1,487,1205,Tiger Pillar Sculpture Image
50,20,2,431,1207,Band StandSelfie
50,20,3,472,1205,Queen VictoriaImage
50,20,4,492,1201,High Court of KarnatakaWord 2
50,20,5,458,1204,High Court of KarnatakaGPS
50,20,6,469,1217,Mushroom SculptureJigsaw 1
50,20,7,478,1218,Seshadri IyerMCQ
50,20,8,448,1217,Chamarajendra WodeyarJigsaw
50,20,9,442,1207,Bull SculptureSelfie
